document_id,source_row_index,encoding_artefacts,has_encoding_artefacts,male_pronoun_count,female_pronoun_count,pronoun_mismatch,text_length
GAN11118,11118,utf8_double_A; utf8_nbsp; replacement_char,True,6,0,False,3491
GAN16750,16750,replacement_char,True,0,12,False,2427
GAN14706,14706,replacement_char,True,7,0,False,2171
GAN12383,12383,,False,19,0,False,3051
GAN5555,5555,replacement_char,True,0,0,False,3549
GAN6216,6216,replacement_char,True,0,0,False,2897
GAN10703,10703,replacement_char,True,12,0,False,3565
GAN10594,10594,,False,0,7,False,2136
GAN14036,14036,replacement_char,True,1,0,False,1831
GAN4562,4562,replacement_char,True,0,0,False,2030
GAN14369,14369,replacement_char,True,11,0,False,3195
GAN9786,9786,replacement_char,True,0,0,False,2418
GAN9879,9879,replacement_char,True,0,8,False,3221
GAN8488,8488,replacement_char,True,7,0,False,1964
GAN13079,13079,replacement_char,True,12,0,False,3338
GAN16158,16158,,False,0,9,False,3101
GAN9278,9278,replacement_char,True,12,0,False,3039
GAN16356,16356,,False,0,0,False,2677
GAN16036,16036,replacement_char,True,10,0,False,2952
GAN665,665,replacement_char,True,0,0,False,3133
GAN11434,11434,,False,0,0,False,1119
GAN1165,1165,replacement_char,True,8,0,False,3708
GAN10967,10967,replacement_char,True,0,0,False,3278
GAN280,280,replacement_char,True,20,0,False,2494
GAN11556,11556,replacement_char,True,0,0,False,1465
GAN7708,7708,replacement_char,True,7,0,False,2340
GAN4003,4003,replacement_char,True,26,0,False,3807
GAN10010,10010,replacement_char,True,19,0,False,3246
GAN15376,15376,replacement_char,True,4,0,False,2205
GAN3859,3859,replacement_char,True,0,1,False,2948
GAN8188,8188,replacement_char,True,13,0,False,2025
GAN1922,1922,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,17,False,3705
GAN15129,15129,replacement_char,True,0,6,False,2815
GAN12111,12111,replacement_char,True,0,8,False,2729
GAN16253,16253,replacement_char,True,16,0,False,2960
GAN10968,10968,replacement_char,True,0,0,False,2989
GAN2135,2135,,False,3,0,False,2905
GAN10147,10147,replacement_char,True,0,0,False,2705
GAN1707,1707,replacement_char,True,7,0,False,2484
GAN10909,10909,replacement_char,True,0,18,False,3539
GAN2356,2356,,False,4,0,False,2297
GAN13485,13485,replacement_char,True,9,0,False,2468
GAN7047,7047,replacement_char,True,0,0,False,1884
GAN9496,9496,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,2455
GAN3237,3237,utf8_double_A; utf8_fffd; utf8_double_e; utf8_nbsp; replacement_char,True,0,0,False,3339
GAN4110,4110,replacement_char,True,15,0,False,2824
GAN6321,6321,replacement_char,True,0,0,False,2150
GAN1378,1378,replacement_char,True,0,0,False,3092
GAN9354,9354,replacement_char,True,13,0,False,1999
GAN13385,13385,,False,1,6,True,3119
GAN14040,14040,,False,12,0,False,2085
